filename, language, JavaScript, SCSS, CSS, comment, blank, total
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\assets\ITEMSTORE.js, JavaScript, 42, 0, 0, 0, 2, 44
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\AddItem\AddItem.js, JavaScript, 42, 0, 0, 0, 5, 47
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\App\App.js, JavaScript, 68, 0, 0, 0, 8, 76
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\ColorPickerForm\ColorPickerForm.js, JavaScript, 109, 0, 0, 0, 7, 116
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\Error\Error.js, JavaScript, 4, 0, 0, 0, 1, 5
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\Form\Form.js, JavaScript, 4, 0, 0, 0, 1, 5
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\Header\Header.js, JavaScript, 12, 0, 0, 0, 2, 14
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\List\List.js, JavaScript, 4, 0, 0, 0, 1, 5
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\PanelItem\PanelItem.js, JavaScript, 50, 0, 0, 0, 10, 60
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\PanelItems\PanelItems.js, JavaScript, 36, 0, 0, 0, 7, 43
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\PanelMain\PanelMain.js, JavaScript, 243, 0, 0, 0, 21, 264
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\PanelMain\_rangSlider.scss, SCSS, 0, 105, 0, 0, 5, 110
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\PanelOptions\PanelOptions.css, CSS, 0, 0, 12, 3, 1, 16
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\PanelOptions\PanelOptions.js, JavaScript, 61, 0, 0, 0, 6, 67
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\PanelRow\PanelRow.js, JavaScript, 34, 0, 0, 0, 11, 45
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\components\PanelSizeForm\PanelSizeForm.js, JavaScript, 114, 0, 0, 0, 22, 136
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\contexts\PanelContext.js, JavaScript, 76, 0, 0, 0, 16, 92
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\helpers\helpers.js, JavaScript, 10, 0, 0, 0, 1, 11
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\imageHelper\images.js, JavaScript, 9, 0, 0, 0, 2, 11
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\index.js, JavaScript, 14, 0, 0, 0, 2, 16
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\styles.css, CSS, 0, 0, 22, 1, 3, 26
c:\Users\Krenn\Desktop\webDev\projects\panel-builder-app\src\styles.scss, SCSS, 0, 21, 0, 0, 4, 25
Total, -, 932, 126, 34, 4, 138, 1234
